canonical_id,norm_artist,display_title,spotify_track_name,spotify_primary_artist_name,spotify_match_attempt,spotify_album_release_year,spotify_title_score,spotify_artist_score,spotify_enriched_at
21,alanis morissette,You Oughta Know (Live Grammy Version W/or,You Oughta Know,Alanis Morissette,4,1995,100.0,100.0,2026-02-27T19:21:37.151071
64,avttpttn,Received,Received,The Avett Brothers,3,2025,100.0,94.11764705882354,2026-02-27T19:27:08.164671
245,bryan ferry and roxy music,Slave To Love,Slave To Love,Bryan Ferry,3,1985,100.0,100.0,2026-02-27T19:32:40.893624
515,eric clapton and derek and the dominos,Layla,Layla,Derek & The Dominos,3,1970,100.0,100.0,2026-02-27T19:39:48.485648
625,green day,Time Of Your Life (Good Riddance),"Good Riddance (Time of Your Life) - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05",Green Day,4,2005,100.0,100.0,2026-02-27T19:42:51.927761
800,lana del rey,Ride - Peak Performance,Ride,Lana Del Rey,4,2012,100.0,100.0,2026-02-28T20:40:37.744562
953,mumford and sons with hozier,Rubber Band Man,Rubber Band Man (with Hozier),Mumford & Sons,3,2025,100.0,100.0,2026-02-28T20:45:43.849466
1103,peter tosh and mick jagger,(You Gotta Walk) Don't Look Back,(You Gotta Walk) Don't Look Back - 2002 Remaster,Peter Tosh,3,1988,100.0,100.0,2026-02-28T20:50:06.894369
1116,pink floyd,Pigs On The Wing - Pt 1,Pigs on the Wing 1,Pink Floyd,4,1977,100.0,100.0,2026-02-28T20:50:23.199310
1178,ramones,Blitzkreig Bop,Blitzkrieg Bop,Ramones,4,2017,92.85714285714286,100.0,2026-02-28T20:52:21.512209
1512,tom petty and the heartbreakers,So You Want To Be A Rock'n'roll Star,So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,Tom Petty and the Heartbreakers,4,1985,91.66666666666667,100.0,2026-03-01T20:49:59.280387
1554,u2 w bbking,When Love Comes To Town,When Love Comes To Town,U2,3,1988,100.0,100.0,2026-03-01T20:51:32.531242
1555,u2 w lou reed,Satellite Of Love,Satellite of Love,Lou Reed,3,1972,100.0,100.0,2026-03-01T20:51:35.358413
1650,xtc,The Mayor Of Simpleton,Mayor Of Simpleton - 2001 Remaster,XTC,4,1989,100.0,100.0,2026-03-01T20:54:49.186074
1779,roy orbison with the royal philharmonic orchestra,You Got It,You Got It,Roy Orbison,3,1989,100.0,100.0,2026-03-01T20:59:23.612654
1883,u2,"God, Pt. II",God Part II,U2,4,1988,90.0,100.0,2026-03-01T21:03:21.032005
2034,tony carey and planet p project,"A Fine, Fine Day","A Fine, Fine Day",Tony Carey,3,2018,100.0,100.0,2026-03-06T15:50:12.315951
2052,pink floyd,Speak To Me/breath In The Air/on The Run,Speak to Me,Pink Floyd,4,1973,100.0,100.0,2026-03-07T12:21:04.686668
2224,dire straits,Money For Nothing [2022 Remaster],Money for Nothing,Dire Straits,4,1985,100.0,100.0,2026-03-14T22:20:36.080205
2271,fleet foxes,A Tiger Peasant Mountain Song,Tiger Mountain Peasant Song,Fleet Foxes,4,2008,100.0,100.0,2026-03-19T22:21:27.900413
2317,dropkick murphys,Rose Tattoo,Rose Tattoo,Dropkick Murphys,3,2013,100.0,100.0,2026-03-19T22:23:19.672776
2340,inhaler,Cheer Up Baby Peak Performance,Cheer Up Baby,Inhaler,4,2021,100.0,100.0,2026-03-19T22:24:10.827721
2385,call,The Walls Come Down,The Walls Came Down,The Call,4,2026,94.73684210526315,100.0,2026-03-27T16:20:12.490552
2518,rem,South Central Rain,So. Central Rain,R.E.M.,4,1984,90.9090909090909,100.0,2026-03-28T13:08:54.210600
2663,clash,The Magnificent Seven (Return) [Live],The Magnificent Seven - Remastered,The Clash,4,1980,100.0,100.0,2026-04-02T18:18:23.116559
2740,gary us bonds,This Little Girl,This Little Girl,Gary U.S. Bonds,4,1981,100.0,100.0,2026-04-06T22:50:53.692981
