,artist_entropy,unique_artists_per_hour,avg_best_year,freshness_pct,exclusive_artist_pct,era_continuity_mean_gap,repertoire_mds1,repertoire_mds2
10 @ 10,7.775206932768078,3.1744186046511627,1979.5547703180212,0.0,0.03296703296703297,0.6,0.4431409124088622,0.3316695564506226
10 @ 10 Weekend Replay,7.713133603741117,6.45,1979.455919395466,0.0,0.011627906976744186,0.61,0.4473202118411447,0.1801432984359372
90's at Night,6.325447843528355,6.375,1994.8082901554403,0.010362694300518135,0.3137254901960784,4.172972972972973,-0.512208981064986,-0.6307982419226696
Andy Bale,7.378161751231264,6.15625,2004.5841836734694,0.3673469387755102,0.01015228426395939,24.984375,-0.40708145823324904,0.1987270000255319
Chris Herrmann,8.026395723690381,2.4244186046511627,2003.678553739475,0.3620604259534423,0.02877697841726619,25.477226720647774,-0.09684655047029021,0.12019536835258207
Coach,7.96850279581464,1.9953051643192488,2002.556288478452,0.3658751099384345,0.042352941176470586,27.999549954995498,-0.18044550141279464,0.2926126173963341
Jimmy Fink,8.246205756190726,2.9011627906976742,1998.47311827957,0.289810547875064,0.1462925851703407,25.020942408376964,0.024812016137499195,0.1979937368690395
Pam Landry,7.648284478370137,4.3125,2002.91015625,0.3658854166666667,0.014492753623188406,27.804521276595743,-0.3239250660563548,0.05626501283091572
Peak Music,8.151084224945675,0.9628252788104089,2002.2121896162528,0.3443848758465011,0.04633204633204633,28.690381331815594,-0.020664865852002126,0.34527980664980756
Sunday Mornings Over Easy,7.303755871589265,7.791666666666667,2002.5970695970695,0.2893772893772894,0.2887700534759358,26.539622641509435,0.13628305999449003,-0.7184669799331808
This Just In with Meg White,6.797479504483284,3.558139534883721,2023.195079086116,0.9015817223198594,0.12418300653594772,3.397338403041825,0.48961622270768057,-0.37362117515492027
